Slang,Definition,Origin/Context,is_nsfw
pussy,"Comes from the word p***y, added to refer to anything with a hole in it, or anything the user thinks would be funny.","The suffix ""-ussy"" originated from Internet subcultures as a humorous way to sexualize or gender objects by attaching the end of the word ""pussy"" to any noun. It is now used broadly and ironically to describe almost anything with a hole, crevice, or opening for comedic effect.",True
41,"Basically just a contradiction or alternative to ""6-7.""","The popularity of this term began with a rap song by Blizzi Boi, in which he uses the number ""41"" several times.",False
6 7,"This number can serve as a comedic interruption whenever someone else mentions a number or basically anything close to the words ""six"" or ""seven."" Its meaning is purposefully ambiguous, and the number can be used in as many situations as teens can find.","A song called ""Doot Doot (6 7)"" by the rapper Skrilla helped the number start trending, as did American basketball star LaMelo ball, who is 6'7"". (Ex: ""I got a 67 on my test!"" ""Bro, 6-7!"")",False
_____ core,Sharing traits or having similarity with something else.,"""Omg this small town is so Gilmore Girls coded"" or ""Your top is so early 2000s-core.""",False
coded,Sharing traits or having similarity with something else.,"""Omg this small town is so Gilmore Girls coded"" or ""Your top is so early 2000s-core.""",False
Above all,"The most important thing. It's used when you want to emphasize that you have things that are a priority, over other things in a situation.","Example sentence: You can try different study methods, but above all, make sure you understand the concept. (You can try different study methods, but most importantly, make sure you understand the concepts).",False
Ace,"It has several meanings depending on the context, but it is generally used to describe someone who is very great or has done something very well.",Example sentence: He is the ace in our team. (He is the hero on our team).,False
acoustic,"An algospeak form of the word ""autistic."" Used as an insult to call someone stupid or slow.","""Acoustic"" originated as a form of algospeak on platforms like TikTok to bypass content moderation filters that flag the word ""autistic."" It is now primarily used within internet subcultures as a derogatory shorthand to insult someone's intelligence or social behavior.",False
Adulting,"The process of becoming an adult/taking on adult responsibilities/facing adult life. Usually, it is used when talking about tasks that adults do.",Example: Paying bills and cleaning all day. adulting is hard. (Paying bills and cleaning all day... being an adult is hard).,False
Aesthetic,"Another word for ""vibe.""","""I don't like this artist because I don't get her aesthetic."" ""I love the aesthetic of this Instagram account I just found."" Can also be used as an adjective to describe something being aesthetically pleasing. ""I wish my Instagram feed was as aesthetic as hers..."" ""That outfit is so aesthetic.""",False
AF,As f***. Used to emphasize something.,"""It's hot af in here.""",True
Aight,"It stands for ""all right"" or ""alright"". This word is used in everyday conversation, to say that you agree, understand, or explain that something is okay.","Example sentence:
Laras: ""You wanna go to the movies tonight?(Do you want to go to the movies tonight?)
Fany: ""Aight, sounds good."" (Come on, it sounds exciting.)",False
Animal Party,"A term for people who really like parties, often hang out, and are always present at exciting events.",Example sentence: He's a total party animal on the weekends. (He really likes to party every weekend.),False
Ants in your pants,"Nervous, restless, or unable to sit still. Used when you find it difficult to sit still because of uncomfortable feelings.",Example sentence: She had ants in her pants the day before the big presentation. (He felt restless the day before his big presentation).,False
Any road,"It has the same meaning as anyway or by the way. Used to divert the subject, or to say that you don't have a problem with something.","Example sentence: I was going to tell you about my day, but any road, let's talk about something else. (I wanted to tell you about my day, but by the way, let's talk about something else).",False
Arm in arm,Hand in hand. It can also be used when you want to support a group/organization.,"Example sentence: I really hope in this situation we can be arm in arm to support the community. (I really hope that in this situation, we can work hand in hand to support the community.)",False
ASMR,Autonomous Sensory Meridian Response.,An Internet trend of making videos with different sounds to elicit a physical response (e.g. goosebumps) from viewers.,False
ate,To have performed well or extremely good at something.,"""Ate"" originated in Black Queer culture and Ballroom scenes, where the phrase ""ate that up and left no crumbs"" was used to describe someone executing a performance or look flawlessly. It has since entered mainstream internet slang to praise someone for doing an excellent job at any given task.",False
Ate and left no crumbs,Used when someone does an exceptional job at something.,"""Tamara just performed all of Bohemian Rhapsody by herself. Ate and left no crumbs.""",False
aura,An individual's current reputation or charisma.,Cultivating aura is known as aura farming.,False
Aura Points,What you gain or lose from doing something cool or uncool.,"""Aura points"" originated from social media memes that quantify an individual’s perceived ""cool factor"" or charisma, effectively serving as a social score that fluctuates based on one's actions. It is used to humorously judge whether a specific behavior enhances your status (gaining aura) or induces embarrassment (losing aura).",False
Back on your feet,"This slang means, having recovered from illness, financial problems, or other difficult situations. It is usually used when a person returns to normal/stable condition.","Example sentence: He was sick for a week, but now she's back on her feet. (He was sick for a week, but now he's back to health.)",False
