slang,definition,origin_context
aura,An individual's current reputation or charisma.,Cultivating aura is known as aura farming.
Aura Points,What you gain or lose from doing something cool or uncool.,Aura points originated from social media memes that quantify an individual’s perceived cool factor or charisma effectively serving as a social score that fluctuates based on one's actions. It is used to humorously judge whether a specific behavior enhances your status (gaining aura) or induces embarrassment (losing aura).
Back on your feet,This slang means having recovered from illness financial problems or other difficult situations. It is usually used when a person returns to normal/stable condition.,Example sentence: He was sick for a week but now she's back on her feet. (He was sick for a week but now he's back to health.)
baddie,A confident stylish and attractive woman.,The term baddie originated in African American Vernacular English (AAVE) and gained mainstream popularity through social media platforms like Instagram and TikTok to describe trendsetting highly groomed and self-assured women. It is frequently used as a compliment to celebrate a woman’s aesthetic appeal fashion sense and independent attitude.
Bae,A noun meaning a romantic partner crush or significant other. Derived from the term baby or babe but also used as an acronym for before anyone else.,Example:*He's my bae I love him so much. You're my bae you always come first.*
Bail,Leaving suddenly. It is used to refer to someone who leaves first does not come or suddenly leaves especially in the context of hanging out events or plans together.,Example sentence: He bailed on our dinner plans. (He didn't come in our dinner plans).
Balls up,Unplanned messy or failed. Used when something is completely messy/completely fails.,Example sentence: I really balls up the interview. (I really messed up the interview).
Banger,Super cool. Used to call an unbelievably cool song or movie.,Example sentence: That new track is a banger! (That latest track is really cool!)
bar,A lyric in a rap song that is considered excellent.,The term bars originated in hip-hop culture referring to the four-beat measures that make up a line of rap music. Today it is used to praise a rapper’s lyrical ingenuity complex wordplay or clever delivery.
based,Originated from rapper Lil B The BasedGod who defined it as ...being yourself. Not being scared of what people think about you. Not being afraid to do what you wanna do.,More contemporary use has been to express approval of someone or agreeing with another's opinion. Similar to W.
basic,Pertaining to those who prefer mainstream products trends and music.,Derived from the term basic bitch.
BB,Synonym for babe or baby but usually used for friends.,Pronounced bee bee.
bean soup theory,The phenomenon where someone outside of a target audience attempts to seek accommodations for their personal tastes or situation a form of the spotlight effect.,The term originates from a controversy around comments on a bean soup recipe video on TikTok asking for a version of the recipe without beans.
Bed,Something really exciting cool or extraordinary. It is usually used to describe an atmosphere event or experience.,Example sentence: That party was lit! (The party was so much fun!)
Bed rot,The act of lying in bed for hours sometimes watching television or reading a book but mostly just being lazy.,Can represent a critique of hyperproductivity but can also indicate poor mental health. I'm putting my phone on do not disturb all day Saturday I have plans to bed rot.
Rot,The act of lying in bed for hours sometimes watching television or reading a book but mostly just being lazy.,Can represent a critique of hyperproductivity but can also indicate poor mental health. I'm putting my phone on do not disturb all day Saturday I have plans to bed rot.
Beige flag,Somewhere between a red flag and a green flag this refers to a behavior or personality trait that is neither positive nor negative just a little quirky or strange.,My boyfriend's beige flag is that always sleeps with his shirts on backwards.
Bet,Okay agree or ready. Used as a form of consent in everyday conversation.,Example sentence: Are you in for dinner tonight? Bet! (You're coming for dinner later? Okay!)
Biblically accurate,Used to refer to anything characterized by an uncanny alarming and/or horrifying appearance.,Originating from art depicting biblically accurate angels (such as in Ezekiel and Revelation with depictions of several sets of wings multiple faces and in some cases hundreds of eyes).
Big,A word that adds emphasis in multiple contexts.,(Big mad: Being extremely mad about something; big sad: really sad; big brain: someone/ something really smart.)
Big yikes,A reaction to something very embarrassing. More exciting than the word 'yikes' because this slang is used for something that is really very embarrassing.,Example sentence: He tripped on stage big yikes! (He stumbled on stage duh what a shame!)
Binge watch,Watch for hours non-stop. Used when you watch a series/movie/drama or show in a marathon/continuous.,Example sentence: I binge-watched all episodes of Clash of Champions Season 2 last night. (I marathoned all the episodes of Clash of Champions Season 2 last night).
Blast,A very pleasant thing. It is used to express an experience that is enjoyable or exciting. This slang can also be used when you want to spread info messages or news quickly.,Example sentence:That party was a blast! (The party was awesome!) I'll blast the chat to the whole team. (I'll send that message to the whole team).
Blow chunks,Nausea/pain. Usually when you are sick or have severe diarrhea.,Example: I ate too much pizza last night. I almost blew chunks in the car! (I ate a lot of pizza last night. I almost threw up in the car!)
Blow me down,Impressed/surprised. Used when something surprising or unexpected happens that makes you want to fall so shocked.,Example sentence: Wow blow me down! I didn't expect to see you here after all these years! (Wow that's amazing! I didn't expect to see you here in all these years!
Blow off steam,Release stress. Used when you want to relax/relax after facing pressure.,Example sentence: Let's go party and blow off steam. (Let's party and release the fatigue).
blud,A variant of the word blood brother or mate.,Blud originated in Multicultural London English (MLE) as a term for a close friend or blood brother rooted in Caribbean patois. It is now widely used in Gen Z slang as a casual substitute for mate bro or man.
Blue collar,Field workers. To name the type of work that uses physical.,Example sentence: He comes from a blue-collar family. (He comes from a family of field workers).
Blueprint,Used when someone did something so well that they became the standard by which everyone else does it.,Every boy band these days is trying to be OneDirection. They really are the blueprint.
Boi,Another way of spelling boy through text or on social media.,Boi originated in internet subcultures and early meme culture as an informal stylized spelling of boy often used to convey a playful ironic or emphatic tone. It is frequently employed to express disbelief excitement or mock aggression such as in the popular Ooh kill 'em or Boi meme templates.
Bomb,The word bomb in slang has several meanings it can be very positive or even very negative. On the positive side the bomb has a really cool/extraordinary meaning. But on the negative side the bomb is also used for things that fail completely.,Example sentence:You can do it because you are the bomb. (You can do it because you're amazing). The movie bombed at the box office. (The film was a total failure in theaters.)
Boo,Girlfriend/Partner. A term for a couple.,Example sentence: I'm going out with my boo tonight. (I'm going with my boyfriend tonight).
